,deadline,goal,launched,state,backers,usd pledged
64,2015-04-27 19:33,15000,2015-03-13 18:33,successful,2784,124998
239,2015-08-14 3:47,75000,2015-06-30 3:47,failed,21,1736
33,2015-08-22 3:09,2000,2015-07-23 3:09,successful,18,1473.6189
296,2016-01-17 9:03,250,2016-01-02 9:03,successful,39,734.3896721
165,2016-04-01 0:15,129000,2016-03-02 0:15,failed,32,8267.41638
242,2017-01-08 4:00,18000,2016-12-09 4:00,failed,23,375.2169594
22,2017-09-07 1:20,2500,2017-08-08 1:20,failed,1,0
11,2013-10-09 18:19,2500,2013-09-09 18:19,failed,0,0
171,2013-10-23 23:36,2000,2013-09-23 23:36,failed,18,636.7775928
216,2014-05-08 15:37,38875,2014-04-09 22:39,failed,0,0
86,2014-07-10 0:09,4000,2014-06-10 0:09,successful,153,4523.365612
28,2014-12-14 18:02,17757,2014-11-14 18:02,successful,571,43203.25114
99,2015-03-07 16:57,25000,2015-02-05 16:57,failed,3,2.41110072
105,2015-05-25 20:04,50000,2015-04-23 20:04,canceled,19,9240.736853
66,2015-07-03 5:52,50000,2015-06-03 5:52,failed,0,0
69,2015-08-07 21:46,15000,2015-07-08 21:46,canceled,6,553.324254
204,2017-01-23 17:14,50000,2016-12-01 21:16,failed,0,0
255,2017-06-01 17:54,500,2017-04-17 17:54,successful,30,153.8176418
41,2018-01-19 18:15,3000,2017-11-20 18:15,live,24,185.6467642
134,2015-09-16 15:37,4000,2015-08-17 15:37,failed,12,313.3002629
158,2016-05-01 19:09,100,2016-03-02 19:09,failed,2,21.7678072
269,2016-06-14 22:04,2000,2016-05-29 22:04,successful,7,2254.152339
270,2016-06-26 23:59,10000,2016-05-15 22:43,failed,25,966.7593072
62,2016-10-13 11:59,12000,2016-09-13 11:59,failed,2,0
87,2016-10-30 17:13,10000,2016-08-31 18:13,failed,9,22.3488658
212,2016-12-18 18:51,3286,2016-11-18 18:51,successful,44,427.944796
271,2017-03-09 16:53,59000,2017-01-22 16:53,failed,50,917.0973907
293,2017-07-01 11:38,20000,2017-05-22 11:38,failed,1,0
91,2017-11-23 16:58,5000,2017-10-24 16:58,successful,346,5509.508914
214,2017-12-13 8:25,700,2017-10-14 8:25,failed,4,88.85929575
157,2012-12-22 3:59,60000,2012-11-15 22:46,failed,90,8715.624765
188,2012-12-29 13:54,40000,2012-11-29 13:54,successful,3080,75365.13526
149,2013-02-22 22:32,600,2013-01-08 22:32,failed,0,0
143,2013-05-08 1:06,1500,2013-04-08 1:06,successful,19,2320.2691
280,2013-06-04 10:17,125,2013-05-14 10:17,successful,19,371.5388926
186,2013-06-12 13:59,5500,2013-05-13 13:59,successful,140,8787.829467
236,2013-07-28 23:17,4000,2013-06-28 23:17,failed,1,30.6621492
298,2013-08-03 11:17,1000,2013-07-04 11:17,canceled,6,83.3424251
132,2014-03-02 22:00,5000,2014-01-24 12:49,successful,47,8345.981293
259,2014-03-28 9:27,2000,2014-02-26 10:27,failed,0,0
247,2014-07-03 16:00,400,2014-06-03 16:00,successful,36,1783.510312
181,2014-07-10 10:36,500,2014-06-10 10:36,failed,1,16.8060166
152,2014-08-19 12:52,1925,2014-07-20 12:52,failed,5,500.633908
156,2014-08-29 18:14,500,2014-07-30 18:14,failed,1,16.9818498
144,2014-09-28 19:47,500,2014-08-29 19:47,failed,0,0
200,2014-11-10 11:30,2500,2014-10-19 20:35,successful,107,4983.778992
81,2015-02-06 13:00,2000,2014-12-15 19:13,failed,9,95.87396169
142,2015-03-20 1:00,750,2015-03-06 15:13,successful,15,1153.311037
130,2015-03-31 5:52,500,2015-03-01 5:52,failed,1,7.71822905
31,2015-03-31 18:06,3500,2015-03-01 18:06,failed,1,32.41526106
70,2015-04-29 19:55,5000,2015-03-30 19:55,failed,1,2.9752253
262,2015-06-13 3:00,5500,2015-05-13 13:20,successful,184,11147.99241
168,2015-06-17 21:52,2500,2015-05-18 21:52,failed,29,2068.065297
1,2015-10-09 11:36,1000,2015-08-11 12:12,failed,0,0
211,2015-10-10 0:59,15000,2015-09-04 16:33,successful,85,23358.14451
27,2016-01-05 20:09,12000,2015-12-06 20:09,failed,0,0
29,2016-01-28 16:59,100,2015-12-29 16:59,successful,27,167.7003058
300,2016-04-17 0:00,370,2016-03-24 18:44,successful,17,703.1999156
148,2016-06-16 1:05,10000,2016-05-17 1:05,failed,1,1.4360512
267,2016-08-09 17:51,10000,2016-06-30 17:51,failed,0,0
76,2016-08-24 5:59,500,2016-07-12 17:31,failed,6,174.8267591
198,2017-02-24 16:21,10000,2017-01-25 16:21,failed,15,115.0468814
15,2017-05-03 19:44,5000,2017-04-05 19:44,successful,761,57763.77968
68,2017-07-02 12:20,2000,2017-06-02 12:20,failed,0,0
289,2017-07-09 2:20,50,2017-06-09 2:20,failed,6,2.58010916
199,2017-07-31 17:49,200,2017-07-06 17:49,failed,1,19.3990686
195,2016-12-21 6:59,55000,2016-11-19 4:05,successful,24,2.450925
150,2017-04-17 22:34,18000,2017-03-03 22:34,failed,1,0
24,2015-02-25 19:17,500,2015-01-26 19:17,failed,3,6.18000816
209,2016-07-18 20:16,4450,2016-06-18 20:16,successful,47,409.5424954
268,2009-07-15 4:58,10000,2009-06-20 22:15,successful,65,10328
108,2010-07-04 21:12,5000,2010-04-29 7:14,failed,3,50
133,2010-07-12 8:59,10000,2010-06-12 1:44,failed,44,4006
277,2010-07-12 22:00,3000,2010-05-12 21:45,successful,55,3125
189,2010-09-19 5:59,4000,2010-07-30 23:23,failed,2,30
120,2010-11-08 22:48,20000,2010-10-09 22:48,failed,4,270
177,2010-12-20 5:59,2000,2010-10-26 1:17,successful,38,2036
26,2011-01-06 23:16,10000,2010-12-07 23:16,successful,147,15827
279,2011-04-24 1:08,5000,2011-03-24 0:08,failed,1,100
244,2011-06-04 21:36,5150,2011-04-25 21:36,successful,97,5965.5
208,2011-06-10 22:17,5000,2011-05-17 22:17,failed,0,0
238,2011-06-14 9:00,1000,2011-04-15 9:00,failed,0,0
146,2011-06-28 9:09,6000,2011-05-19 9:09,failed,2,20
67,2011-07-08 15:08,15000,2011-05-09 15:08,successful,144,15425
98,2011-07-31 6:00,2000,2011-07-06 16:35,successful,45,2252.99
232,2011-08-12 18:25,15000,2011-07-22 0:28,canceled,1,25
278,2011-09-15 17:35,10000,2011-08-01 17:35,failed,34,1765
224,2011-09-30 22:05,2000,2011-08-09 23:19,failed,7,170
173,2011-11-04 6:00,777,2011-10-20 23:51,successful,36,923
121,2011-12-31 0:01,25000,2011-10-31 23:01,failed,0,0
191,2012-01-10 5:59,800,2011-12-09 0:23,successful,19,850
83,2012-02-14 21:00,4000,2012-01-11 20:13,successful,29,4045
283,2012-02-15 17:59,1000,2012-01-28 19:07,successful,21,1145
207,2012-02-27 4:22,500,2012-01-28 4:22,failed,1,5
92,2012-03-06 18:25,4289,2012-01-21 18:25,failed,14,474
111,2012-03-24 2:00,1000,2012-02-12 17:33,successful,41,1455
58,2012-03-26 6:00,9500,2012-02-13 19:00,successful,121,9660
138,2012-04-09 2:52,3000,2012-02-24 2:52,failed,8,260
4,2012-04-16 4:24,5000,2012-03-17 3:24,failed,1,1
263,2012-05-09 15:07,12000,2012-04-09 15:07,failed,14,686
54,2012-05-13 23:34,4000,2012-04-18 23:34,successful,71,4866.17
85,2012-05-18 7:59,500,2012-05-01 7:11,successful,36,754.82
37,2012-05-19 1:04,4000,2012-04-19 1:04,successful,157,8641.34
94,2012-05-26 4:25,15000,2012-03-27 4:25,canceled,4,151
20,2012-06-02 17:24,5000,2012-05-03 17:24,failed,40,1781
151,2012-06-06 7:42,12000,2012-05-07 7:42,failed,89,3100.66
275,2012-06-09 7:43,3397.98,2012-05-10 7:43,failed,1,50
154,2012-06-18 14:33,7500,2012-05-14 14:33,successful,67,8315
245,2012-07-11 13:55,5000,2012-06-11 13:55,successful,57,5000
295,2012-07-16 6:59,1300,2012-06-28 5:56,failed,10,625
135,2012-07-18 16:58,1400,2012-06-18 16:58,successful,49,2535
273,2012-08-12 5:33,800,2012-06-13 5:33,failed,3,45
93,2012-08-14 20:05,2000,2012-06-30 20:05,successful,40,2075
19,2012-08-17 14:11,250,2012-08-02 14:11,successful,7,250
202,2012-08-21 5:09,11000,2012-07-10 2:31,canceled,1,75
45,2012-09-01 23:36,10000,2012-07-15 3:27,successful,181,12656
40,2012-09-02 18:43,15000,2012-08-03 18:43,successful,277,17499.99
109,2012-09-20 21:59,5400,2012-08-02 4:47,successful,131,5858
217,2012-10-11 4:00,9000,2012-09-12 5:32,successful,115,10046
122,2012-10-11 6:59,125000,2012-09-06 6:59,failed,67,3012
127,2012-10-18 4:46,200,2012-09-18 4:46,successful,36,306.72
102,2012-10-26 23:00,200,2012-10-11 23:32,successful,14,274.05
128,2012-10-28 8:33,250000,2012-09-28 9:33,failed,120,90771
167,2012-12-09 4:57,100000,2012-10-10 4:57,failed,37,8085
219,2012-12-09 17:59,3500,2012-11-07 19:53,failed,0,0
90,2012-12-13 0:12,4500,2012-10-30 8:53,failed,10,409
294,2013-02-21 22:58,3500,2013-01-22 22:58,failed,29,1278
48,2013-02-23 6:04,8000,2013-01-24 6:04,successful,154,9401
291,2013-02-25 3:06,2200,2013-01-26 3:06,successful,31,2510
3,2013-02-26 0:20,45000,2013-01-12 0:20,failed,3,220
218,2013-03-03 20:14,1500,2013-02-01 20:14,successful,52,1620
112,2013-03-13 15:16,19500,2013-02-05 16:16,successful,491,20269
126,2013-03-14 2:11,3200,2013-02-12 3:11,failed,11,568
175,2013-03-20 18:38,50000,2013-01-19 18:38,failed,26,2161
34,2013-03-24 0:07,25000,2013-02-12 1:07,failed,30,1395
131,2013-03-30 2:02,800,2013-02-28 3:02,successful,20,1062.57
287,2013-04-03 23:01,10000,2013-03-14 22:01,successful,177,11511.1
95,2013-04-07 5:55,10000,2013-02-20 1:48,successful,113,10414
159,2013-04-07 22:16,1000,2013-03-18 21:16,successful,78,2883.5
12,2013-04-08 6:42,12500,2013-03-09 6:42,successful,100,12700
241,2013-05-03 3:09,1500,2013-04-03 3:09,successful,27,1612
223,2013-05-24 4:48,3000,2013-05-10 4:48,successful,94,4386
88,2013-06-16 0:58,5000,2013-04-17 0:58,failed,2,110
49,2013-07-19 3:16,3000,2013-06-19 3:16,successful,218,8105
36,2013-08-23 21:40,10000,2013-07-24 21:40,failed,54,1373.37
266,2013-09-05 4:02,10000,2013-08-06 4:02,successful,195,11713
79,2013-09-13 8:55,29700,2013-08-15 11:16,failed,76,10410
46,2013-10-01 6:00,2500,2013-08-27 20:17,failed,0,0
59,2013-10-18 20:20,60000,2013-09-18 20:20,failed,5,635
38,2013-10-21 23:00,10000,2013-09-21 23:00,successful,213,15663
137,2013-10-30 2:32,25000,2013-09-27 3:32,failed,3,65
179,2013-11-03 21:55,5000,2013-10-09 21:55,successful,81,5120
