"date","h_price.x","h_rate.x","kospi.x","k_rate.x","h_price.y","h_rate.y","kospi.y","k_rate.y","s_price.x","s_rate.x","s_price.y","s_rate.y"
"2015-03-25",45500,NA,2042.81,NA,45500,NA,2042.81,NA,1485000,NA,1485000,NA
"2015-03-26",45900,0.879,2022.56,-0.991,45900,0.879,2022.56,-0.991,1421000,-4.31,1421000,-4.31
"2015-03-27",45000,-1.961,2019.8,-0.136,45000,-1.961,2019.8,-0.136,1421000,0,1421000,0
"2015-03-30",45600,1.333,2030.04,0.507,45600,1.333,2030.04,0.507,1428000,0.493,1428000,0.493
"2015-03-31",46000,0.877,2041.03,0.541,46000,0.877,2041.03,0.541,1441000,0.91,1441000,0.91
"2015-04-01",45950,-0.109,2028.45,-0.616,45950,-0.109,2028.45,-0.616,1423000,-1.249,1423000,-1.249
"2015-04-02",46300,0.762,2029.07,0.031,46300,0.762,2029.07,0.031,1434000,0.773,1434000,0.773
"2015-04-03",46650,0.756,2045.42,0.806,46650,0.756,2045.42,0.806,1434000,0,1434000,0
"2015-04-06",45750,-1.929,2046.43,0.049,45750,-1.929,2046.43,0.049,1470000,2.51,1470000,2.51
"2015-04-07",45350,-0.874,2047.03,0.029,45350,-0.874,2047.03,0.029,1462000,-0.544,1462000,-0.544
"2015-04-08",43700,-3.638,2059.26,0.597,43700,-3.638,2059.26,0.597,1479000,1.163,1479000,1.163
"2015-04-09",43100,-1.373,2058.87,-0.019,43100,-1.373,2058.87,-0.019,1483000,0.27,1483000,0.27
"2015-04-10",43650,1.276,2087.76,1.403,43650,1.276,2087.76,1.403,1490000,0.472,1490000,0.472
"2015-04-13",43300,-0.802,2098.92,0.535,43300,-0.802,2098.92,0.535,1479000,-0.738,1479000,-0.738
"2015-04-14",43900,1.386,2111.72,0.61,43900,1.386,2111.72,0.61,1474000,-0.338,1474000,-0.338
"2015-04-15",43800,-0.228,2119.96,0.39,43800,-0.228,2119.96,0.39,1446000,-1.9,1446000,-1.9
"2015-04-16",46000,5.023,2139.9,0.941,46000,5.023,2139.9,0.941,1477000,2.144,1477000,2.144
"2015-04-17",47550,3.37,2143.5,0.168,47550,3.37,2143.5,0.168,1450000,-1.828,1450000,-1.828
"2015-04-20",46250,-2.734,2146.71,0.15,46250,-2.734,2146.71,0.15,1430000,-1.379,1430000,-1.379
"2015-04-21",46050,-0.432,2144.79,-0.089,46050,-0.432,2144.79,-0.089,1444000,0.979,1444000,0.979
"2015-04-22",45500,-1.194,2143.89,-0.042,45500,-1.194,2143.89,-0.042,1461000,1.177,1461000,1.177
"2015-04-23",45800,0.659,2173.41,1.377,45800,0.659,2173.41,1.377,1451000,-0.684,1451000,-0.684
"2015-04-24",46850,2.293,2159.8,-0.626,46850,2.293,2159.8,-0.626,1410000,-2.826,1410000,-2.826
"2015-04-27",47000,0.32,2157.54,-0.105,47000,0.32,2157.54,-0.105,1395000,-1.064,1395000,-1.064
"2015-04-28",47950,2.021,2147.67,-0.457,47950,2.021,2147.67,-0.457,1366000,-2.079,1366000,-2.079
"2015-04-29",47700,-0.521,2142.63,-0.235,47700,-0.521,2142.63,-0.235,1385000,1.391,1385000,1.391
"2015-04-30",46850,-1.782,2127.17,-0.722,46850,-1.782,2127.17,-0.722,1410000,1.805,1410000,1.805
"2015-05-04",47950,2.348,2132.23,0.238,47950,2.348,2132.23,0.238,1400000,-0.709,1400000,-0.709
"2015-05-06",46550,-2.92,2104.58,-1.297,46550,-2.92,2104.58,-1.297,1362000,-2.714,1362000,-2.714
"2015-05-07",46250,-0.644,2091,-0.645,46250,-0.644,2091,-0.645,1370000,0.587,1370000,0.587
"2015-05-08",45800,-0.973,2085.52,-0.262,45800,-0.973,2085.52,-0.262,1338000,-2.336,1338000,-2.336
"2015-05-11",46800,2.183,2097.38,0.569,46800,2.183,2097.38,0.569,1336000,-0.149,1336000,-0.149
"2015-05-12",47100,0.641,2096.77,-0.029,47100,0.641,2096.77,-0.029,1331000,-0.374,1331000,-0.374
"2015-05-13",47200,0.212,2114.16,0.829,47200,0.212,2114.16,0.829,1333000,0.15,1333000,0.15
"2015-05-14",46800,-0.847,2120.33,0.292,46800,-0.847,2120.33,0.292,1340000,0.525,1340000,0.525
"2015-05-15",46800,0,2106.5,-0.652,46800,0,2106.5,-0.652,1326000,-1.045,1326000,-1.045
"2015-05-18",46700,-0.214,2113.72,0.343,46700,-0.214,2113.72,0.343,1320000,-0.452,1320000,-0.452
"2015-05-19",46100,-1.285,2120.85,0.337,46100,-1.285,2120.85,0.337,1338000,1.364,1338000,1.364
"2015-05-20",47900,3.905,2139.54,0.881,47900,3.905,2139.54,0.881,1366000,2.093,1366000,2.093
