"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @NgAtlanta: Did you know that you could update your @Ionicframework application without having to push an update to the app store? 

Joi¡¦",FALSE,0,NA,2018-01-23 03:21:27,FALSE,NA,"955641601711394816",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Usm100",12,TRUE,FALSE,NA,NA
"I get plenty of insults about my bad skin and weird angular face, but that¡¯s okay. I¡¯ll be alright. https://t.co/sv7Q88hUtn",FALSE,0,NA,2018-01-23 03:20:19,FALSE,NA,"955641316481810432",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mango_miriam",0,FALSE,FALSE,NA,NA
"RT @sbodrero: Add a Sitemap to an Angular SPA with Firebase Functions - YouTube
https://t.co/vk5lAqSF6U
#developer #javascript #angularjs #¡¦",FALSE,0,NA,2018-01-23 03:18:11,FALSE,NA,"955640779908796416",NA,"<a href=""https://twitter.com/DevHighlights"" rel=""nofollow"">DevHighlights</a>","DevHighlights",2,TRUE,FALSE,NA,NA
"RT @jcade83: TIL: Full Stack .NET is Angular + DevOps. https://t.co/BhkA2KyOoA",FALSE,0,NA,2018-01-23 03:17:55,FALSE,NA,"955640713928097792",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","robdmoore",1,TRUE,FALSE,NA,NA
"RT @NISEP01: Learning about inertia, angular momentum and gyroscopes with the Department of Physics and Astronomy at Interactive Science Ex¡¦",FALSE,0,NA,2018-01-23 03:17:53,FALSE,NA,"955640703652003841",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","MQSciEng",1,TRUE,FALSE,NA,NA
"RT @thaveethugce: 1)Algorithm,DS 2)machine learning,AI,VR,AR 3)cloud computing,BigData, mobile 4)java,python,js,GO 5) React,Vue,Angular 6)C¡¦",FALSE,0,NA,2018-01-23 03:17:45,FALSE,NA,"955640669992882176",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","drogenalac1978",2,TRUE,FALSE,NA,NA
"Add a Sitemap to an Angular SPA with Firebase Functions - YouTube
https://t.co/vk5lAqSF6U
#developer #javascript #angularjs #firebase",FALSE,1,NA,2018-01-23 03:17:08,FALSE,NA,"955640514006708224",NA,"<a href=""http://www.crowdfireapp.com"" rel=""nofollow"">Crowdfire - Go Big</a>","sbodrero",2,FALSE,FALSE,NA,NA
"RT @jetrubyagency: #JavaScript<U+200A><U+2014><U+200A>Null vs. Undefined
https://t.co/CDEVvwh7DD
#business #Coding  #Java #python #IoT #DataViz #BigData #DataSc¡¦",FALSE,0,NA,2018-01-23 03:16:44,FALSE,NA,"955640414320709637",NA,"<a href=""http://labnol.com"" rel=""nofollow"">HTMLv2</a>","html_css_bot",3,TRUE,FALSE,NA,NA
"@watafact_ Todo se va a la mierda cuando se empieza a tomar la figura de la ""victimizacion"" como la piedra angular del argumento",FALSE,0,"watafact_",2018-01-23 03:15:53,FALSE,"955637378357579776","955640200637681665","955215336164470784","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Elsamifuu1993",0,FALSE,FALSE,NA,NA
"RT @angularBolivia: We're happy to announce our first meetup of the year!
We'll have awesome talks and @eusoj(Mexico) will join us this tim¡¦",FALSE,0,NA,2018-01-23 03:15:05,FALSE,NA,"955640000238051329",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rojasjuniore",3,TRUE,FALSE,NA,NA
"RT @mgechev: Angular SF just started! @wwwalkerrun is sharing a @NativeScript story! https://t.co/pppHhGBRrZ",FALSE,0,NA,2018-01-23 03:11:46,FALSE,NA,"955639165449900032",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","NativeScript",1,TRUE,FALSE,NA,NA
"RT @javascriptworks: Why not do what thousands of other JavaScript Developers have done, and sign up to JavaScript Works? https://t.co/OFC2¡¦",FALSE,0,NA,2018-01-23 03:11:33,FALSE,NA,"955639108826746880",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","workshub",2,TRUE,FALSE,NA,NA
"Looking forward to my first developer conference! @NgAtlanta #angular #AngularJS",FALSE,1,NA,2018-01-23 03:11:10,FALSE,NA,"955639012085071873",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","l2ival",0,FALSE,FALSE,NA,NA
"Hasta el hater mas radical debe admitir que John Cena es una piedra angular de la industria #RAW25",FALSE,0,NA,2018-01-23 03:10:37,FALSE,NA,"955638877468971008",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","The_Tuitero",0,FALSE,FALSE,NA,NA
"RT @jetrubyagency: #JavaScript<U+200A><U+2014><U+200A>Null vs. Undefined
https://t.co/CDEVvwh7DD
#business #Coding  #Java #python #IoT #DataViz #BigData #DataSc¡¦",FALSE,0,NA,2018-01-23 03:10:22,FALSE,NA,"955638813413511170",NA,"<a href=""https://github.com/Youngestdev"" rel=""nofollow"">Abdul's bot</a>","kvng_zeez",3,TRUE,FALSE,NA,NA
"Ionic 3 and Angular 4: Insert and Delete with Token Based Restful API https://t.co/5jCpJrjCvp #Programming",FALSE,0,NA,2018-01-23 03:09:41,FALSE,NA,"955638640356577280",NA,"<a href=""https://www.socialoomph.com"" rel=""nofollow"">SocialOomph</a>","ComputerGuruz",0,FALSE,FALSE,NA,NA
"#JavaScript<U+200A><U+2014><U+200A>Null vs. Undefined
https://t.co/CDEVvwh7DD
#business #Coding  #Java #python #IoT #DataViz #BigData¡¦ https://t.co/P4FbZzrxhu",FALSE,3,NA,2018-01-23 03:09:03,TRUE,NA,"955638479337254912",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","jetrubyagency",3,FALSE,FALSE,NA,NA
"RT @dezeen: Eric Rosen Architects carved away parts of a sloped site to make way for this multi-level home in Los Angeles https://t.co/vW9O¡¦",FALSE,0,NA,2018-01-23 03:08:57,FALSE,NA,"955638455383592960",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","lao_y",14,TRUE,FALSE,NA,NA
"[+4][nucl-ex/1212.2001] Betty Abelev, Luke David Hanratty et al.: Long-range angular correlations on the ... https://t.co/T5RjOfhAX4",FALSE,0,NA,2018-01-23 03:08:11,FALSE,NA,"955638262369955841",NA,"<a href=""https://www.google.co.jp"" rel=""nofollow"">arXiv_trend_</a>","arXiv_trend",0,FALSE,FALSE,NA,NA
"[+3][nucl-ex/1307.3237] Betty Bezverkhny Abelev, Luke David Hanratty et al.: Long-range angular correlati... https://t.co/tTYJCYMrs1",FALSE,0,NA,2018-01-23 03:08:09,FALSE,NA,"955638255445164032",NA,"<a href=""https://www.google.co.jp"" rel=""nofollow"">arXiv_trend_</a>","arXiv_trend",0,FALSE,FALSE,NA,NA
"ª½ª¦ª¤ª¨ªÐ¡¢ @ponday_dev ªµªóªÎAngular/Ionic«æ<U+30FC>«¶ªØªÎRxJSõ±ìýÚ¦ªÎÙÍó­äÐªÃªÆª¤ªÄÌñªÇªÆª¯ªëªóªÀªíª¦£¨ìÑÚªªÈTwitter«¢«««¦«ó«Èª¬ÒïªÄª¤ªÆªëí»ãáª¬ªÁªçªÃªÈªÊª¤£©",FALSE,0,NA,2018-01-23 03:07:20,FALSE,NA,"955638048313651200",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","rdlabo",0,FALSE,FALSE,NA,NA
"#AngularJS Creando tu primera aplicacion con #angular definiendo el primer modulo https://t.co/9g7T9W23fx #ngList",FALSE,0,NA,2018-01-23 03:06:44,FALSE,NA,"955637897365020673",NA,"<a href=""http://www.botize.com"" rel=""nofollow"">Botize</a>","mriverodorta",0,FALSE,FALSE,NA,NA
"Anyone else use #Angular in their #dev ? (v2.x and beyond)?  Thoughts?",FALSE,0,NA,2018-01-23 03:05:35,FALSE,NA,"955637609228914693",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Exe_Durgen",0,FALSE,FALSE,NA,NA
"Angular SF just started! @wwwalkerrun is sharing a @NativeScript story! https://t.co/pppHhGBRrZ",FALSE,5,NA,2018-01-23 03:05:03,FALSE,NA,"955637474495152129",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mgechev",1,FALSE,FALSE,NA,NA
"CERAMIC ANGULAR CONTACT BALL BEARINGS
https://t.co/YaKbFVDisO https://t.co/ZDDyB6Tt4k",FALSE,0,"SHsizeshiye",2018-01-23 03:05:03,FALSE,"955637471328391168","955637474377662466","917926648703356928","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SHsizeshiye",0,FALSE,FALSE,NA,NA
"RT @cosmic_js: How to Build an #AngularJS Ecommerce App https://t.co/uB9ayv3QLQ",FALSE,0,NA,2018-01-23 03:03:20,FALSE,NA,"955637043182358528",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","carsoncgibbons",2,TRUE,FALSE,NA,NA
"AngularðàªÙªÆªÆªâçÈåÞ<U+570F>ªÎï×ÜÃª¬õö<U+5B9F>ª·ªëªèª¦ªËÌ¸ª¨ªë¡£¡£¡£
çÈåÞªÎØõ<U+5F37>¡¢çÈåÞªÎØõ<U+5F37>£¡
ªÈªêª¢ª¨ªºåÞÚ­ªË«Ö«íªòíÂªëªÈª³ªíª«ªéã·ªáªë«Ö«í£¡£¡",FALSE,0,NA,2018-01-23 03:01:21,FALSE,NA,"955636542982184960",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jhonyspicy",0,FALSE,FALSE,NA,NA
"RT @FullstackDevJS: Vue JS 2 - The Complete Guide (incl. Vue Router &amp; Vuex)

Vue JS is an awesome JavaScript Framework for building Fronten¡¦",FALSE,0,NA,2018-01-23 03:00:55,FALSE,NA,"955636434425262080",NA,"<a href=""https://www.vuejs.org/"" rel=""nofollow"">VuePackage</a>","VuePackage",2,TRUE,FALSE,NA,NA
"RT @mer_matthews: Whoa. Ok. I was making a browser-based game with angular, and then I added electron and it just worked and now I have a c¡¦",FALSE,0,NA,2018-01-23 03:00:16,FALSE,NA,"955636269178064896",NA,"<a href=""http://www.qosdevelopment.com"" rel=""nofollow"">Indie Game dev bot 6</a>","IndieGameDevBot",1,TRUE,FALSE,NA,NA
"RT @Mybridge: Angular Top 10 Articles for the Past Month (v.Dec 2017). 

@angular #JavaScript https://t.co/WTncBxoz1g https://t.co/4GkwlLYE¡¦",FALSE,0,NA,2018-01-23 03:00:15,FALSE,NA,"955636268452413440",NA,"<a href=""http://voidcanvas.org"" rel=""nofollow"">vc-botter-1</a>","voidcnvs",45,TRUE,FALSE,NA,NA
"Vue JS 2 - The Complete Guide (incl. Vue Router &amp; Vuex)

Vue JS is an awesome JavaScript Framework for building Fro¡¦ https://t.co/4n50bZp1eW",FALSE,1,NA,2018-01-23 03:00:07,TRUE,NA,"955636233799110656",NA,"<a href=""http://learntocode.com.ng"" rel=""nofollow"">FullstackdevJs</a>","FullstackDevJS",2,FALSE,FALSE,NA,NA
